<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MVC,20260813,12.9,13.1,12.8,12.9,17800
MVN,20260813,59,62.8,59,62,66400
NBE,20260813,8.3,8.4,8.3,8.4,1900
NCG,20260813,11.2,11.2,10.7,10.7,6300
ND2,20260813,36.9,37.5,36,36.8,3700
NDT,20260813,4.9,4.9,4.9,4.9,100
NED,20260813,5.5,5.5,5.5,5.5,53900
NTT,20260813,9.4,9.4,9.4,9.4,900
NXT,20260813,4,4,3.7,3.7,2200
ODE,20260813,47.1,47.1,46.8,46.9,17900
OIL,20260813,13.3,13.5,13.2,13.3,727900
PAP,20260813,27.1,27.1,27.1,27.1,200
PAS,20260813,2.3,2.4,2.3,2.3,79300
PAT,20260813,66,66.5,65.3,65.6,20900
PBC,20260813,5.4,5.4,5.3,5.3,6500
PCB,20260813,11.5,12,11.5,11.6,585700
PCC,20260813,24,24,24,24,1000
PCF,20260813,2.8,2.9,2.8,2.9,200
PDC,20260813,5.7,5.7,5.7,5.7,100
PFL,20260813,1.6,1.6,1.6,1.6,19000
PGB,20260813,9.9,9.9,9.7,9.7,6300
PHP,20260813,42.5,43.9,42.5,43,234700
PIV,20260813,6.5,6.7,6.4,6.5,103300
POS,20260813,14.3,14.3,14.1,14.1,2700
POV,20260813,7,7,7,7,400
PPH,20260813,26.1,26.1,26.1,26.1,35700
PRT,20260813,10,10,9,9,1300
PSB,20260813,5.9,5.9,5.1,5.3,33000
PSL,20260813,6.6,6.6,6.5,6.5,200
PSP,20260813,18.8,18.8,16.2,18.4,600
PTP,20260813,11,11,11,11,500
PTT,20260813,9.2,9.2,9.2,9.2,100
PTV,20260813,4.6,4.6,4.5,4.6,3200
PVO,20260813,5.7,5.7,5.5,5.6,14000
PXL,20260813,11.8,11.9,11.5,11.5,5100
QCC,20260813,12.4,14,12.4,14,3200
QHW,20260813,35,35,35,35,100
QNC,20260813,5,5,4.8,5,5200
QNS,20260813,47.1,47.2,46.5,46.9,124400
QPH,20260813,36,36,36,36,200
QTP,20260813,11.3,11.3,11.1,11.2,168000
RBC,20260813,5.7,5.7,5.7,5.7,2600
RIC,20260813,6.6,6.6,6.6,6.6,100
RTB,20260813,23.8,23.8,23.8,23.8,100
SAS,20260813,33,33.4,33,33.3,9300
SB1,20260813,6.7,6.7,6.7,6.7,1600
SBB,20260813,19.4,19.9,19,19.7,5200
SBD,20260813,7.3,7.3,7,7.3,4900
SBH,20260813,38.6,38.6,38.6,38.6,100
SBL,20260813,8,8,7,7,9700
SBS,20260813,4.7,4.7,4.5,4.5,423700
SCJ,20260813,2.7,2.8,2.7,2.8,200
SCL,20260813,23.6,23.8,22.9,23,129900
SD3,20260813,8.9,8.9,8.9,8.9,100
SDA,20260813,1.9,2,1.8,1.9,40900
SDT,20260813,4,4,3.9,3.9,21000
SDV,20260813,33,33,33,33,1000
SEA,20260813,67,67,56,65.6,24100
SGB,20260813,13.2,13.2,12.6,12.6,1500
SGP,20260813,21,21,20.5,20.6,26200
SGS,20260813,14.7,14.7,14.7,14.7,300
SHC,20260813,11,11.9,11,11.9,1200
SKH,20260813,20,20.5,20,20.4,1800
SKN,20260813,7.1,7.1,7.1,7.1,300
SKV,20260813,22.7,22.7,22.5,22.5,3000
SNZ,20260813,24.5,24.6,24.2,24.5,1400
SRB,20260813,1.5,1.5,1.5,1.5,1400
STD,20260813,6.1,6.2,6.1,6.2,1000
SWC,20260813,24,24,23.8,24,3600
SZE,20260813,7.9,8,7.9,8,1800
SZG,20260813,33,33,33,33,100
TAH,20260813,22.6,23,22.5,22.5,54500
TCW,20260813,29,29,29,29,1500
TDF,20260813,6.3,8,6.3,8,700
TED,20260813,62.8,62.8,62.8,62.8,100
TGP,20260813,5.8,5.8,5.7,5.7,1800
TH1,20260813,6.9,7.5,6.6,6.6,5200
THP,20260813,8,8,8,8,3000
TID,20260813,20.9,21,20,20,900
TIN,20260813,113,123.5,113,118.1,77100
TIS,20260813,4.2,4.2,4.2,4.2,400
TLP,20260813,6.9,6.9,6.2,6.2,400
TOS,20260813,99.1,102.9,98.9,102,68200
TR1,20260813,14.6,14.6,14.6,14.6,200
TRV,20260813,10.6,11.8,10.6,11.7,158700
TS3,20260813,5.3,5.4,5.3,5.3,5200
TSD,20260813,4,4,3.1,3.1,1100
TT6,20260813,11.2,11.8,11.1,11.7,12300
TTD,20260813,95,95,95,95,800
TTG,20260813,13,13.9,13,13.5,36900
TTN,20260813,12.7,12.8,12.6,12.6,10000
TV1,20260813,20.4,20.5,20.2,20.3,23200
TVN,20260813,9.2,9.5,9,9.3,1134000
UDC,20260813,2.8,3,2.8,3,2100
UDJ,20260813,6.1,6.2,6.1,6.1,6000
ULG,20260813,27.2,27.2,26.5,26.5,900
USC,20260813,9.2,9.2,9.2,9.2,400
VAV,20260813,31.1,31.1,31,31,500
VCP,20260813,23.8,23.8,23.4,23.4,1400
VEA,20260813,35.2,35.2,34.8,34.9,172700
VEC,20260813,30,30.5,30,30.5,5700
VEF,20260813,79.9,79.9,78.2,78.9,6100
VET,20260813,15,15,14.5,14.5,700
VGG,20260813,39.5,39.5,39,39.3,1500
VGI,20260813,86.5,88,84.9,85,311400
VGT,20260813,11.4,12,11.3,11.8,1062400
VGV,20260813,40.1,40.2,40.1,40.2,2700
VHG,20260813,1.7,1.7,1.6,1.6,16300
VIM,20260813,11.2,11.2,11.2,11.2,500
VIW,20260813,25.2,25.5,24.7,25.3,113000
VLB,20260813,48.5,49.9,48.3,48.4,25700
VLC,20260813,12.5,12.6,11.9,12.2,124000
VLG,20260813,8,8,7,7,1400
VLS,20260813,13.3,13.5,12.8,13.5,1200
VLW,20260813,30.8,30.9,30.3,30.3,2800
VNA,20260813,14,14.3,13.8,13.8,900
VNB,20260813,13.3,13.3,13.2,13.2,1000
VNE,20260813,2.3,2.4,2.2,2.3,307400
VNI,20260813,5.4,5.4,5.3,5.3,2200
VNP,20260813,17.8,19,17.8,18.4,37600
VNZ,20260813,600,629,600,603,4000
VPR,20260813,6.8,6.8,6.5,6.8,2700
VRG,20260813,13.1,13.9,13.1,13.7,700
